CognitiveLoad,SwarmCohesion,TargetKnowledge,TerrainKnowledge,CogWindow
-0.00124624172459858,2,1,1,5
0.656718967661471,2,2,1,5
-0.155421055163899,2,1,2,5
0.11848623322638,2,2,2,5
-0.385563196203371,1,1,1,5
-0.537638734853861,1,2,1,5
-0.241797653737616,1,1,2,5
-0.11483192685848,1,2,2,5
0.474226168140487,2,1,1,5
0.242352719794178,2,2,1,5
-0.164895505765622,2,1,2,5
-0.145633691551862,2,2,2,5
2.84048424288525,1,1,1,5
0.285618005130216,1,2,1,5
0.133980738139703,1,1,2,5
-0.0710841004006936,1,2,2,5
0.00550396456819671,2,1,1,5
1.21442664144263,2,2,1,5
-1.14396268624619,2,1,2,5
-4.29331985377617,2,2,2,5
-0.14040070173763,1,1,1,5
0.515468946207633,1,2,1,5
1.16925642250533,1,1,2,5
0.297148762666107,1,2,2,5
0.14085895714501,2,1,1,5
0.91742324444316,2,2,1,5
0.0076126998719602,2,1,2,5
0.0377081968192021,2,2,2,5
-0.151208843875716,1,1,1,5
0.00618737830868116,1,2,1,5
-0.785127909985016,1,1,2,5
1.55113198637475,1,2,2,5
0.493492242019494,2,1,1,5
0.0329417560762919,2,2,1,5
0.0936175558548168,2,1,2,5
-0.0971967243219657,2,2,2,5
0.230058417244882,1,1,1,5
0.795370572056766,1,2,1,5
0.572298462035741,1,1,2,5
-0.0807433265796358,1,2,2,5
1.42897830568773,2,1,1,5
0.412165957650711,2,2,1,5
-0.733156844081556,2,1,2,5
0.286759836905778,2,2,2,5
-0.419304202635612,1,1,1,5
-1.06511388511434,1,2,1,5
-0.900394597352163,1,1,2,5
0.361664228732255,1,2,2,5
0.295810363013069,2,1,1,5
-0.271138241118687,2,2,1,5
-0.493817075556707,2,1,2,5
1.14481912893423,2,2,2,5
0.1414747293604,1,1,1,5
-0.586699837567964,1,2,1,5
0.230512407350624,1,1,2,5
0.139964343643001,1,2,2,5
-1.12132770431303,2,1,1,5
0.31059601992583,2,2,1,5
0.300860411510167,2,1,2,5
0.698965438853332,2,2,2,5
-0.0648227750238738,1,1,1,5
-2.47641120689159,1,2,1,5
-9.31840983448451,1,1,2,5
-0.600971269768368,1,2,2,5
-12.5672402426994,2,1,1,5
-2.09404505357117,2,2,1,5
-3.35683496566437,2,1,2,5
0.543768730464796,2,2,2,5
0.72340490921834,1,1,1,5
0.158554603490595,1,2,1,5
-0.463444809376674,1,1,2,5
1.20893384164768,1,2,2,5
0.148096917557726,2,1,1,5
-0.171042393978594,2,2,1,5
0.298146548414901,2,1,2,5
-0.771585011392982,2,2,2,5
-1.23241389221145,1,1,1,5
0.742420127986349,1,2,1,5
-0.724851750768322,1,1,2,5
0.044428200810043,1,2,2,5
0.184403444052657,2,1,1,5
0.046155775587699,2,2,1,5
-0.142859099426653,2,1,2,5
-0.169713214921496,2,2,2,5
-0.49822251929504,1,1,1,5
1.24217674000132,1,2,1,5
-1.15980317223221,1,1,2,5
-1.1192747498651,1,2,2,5
-0.173026944062745,2,1,1,5
0.72060941877996,2,2,1,5
0.904238104997407,2,1,2,5
1.4308197307711,2,2,2,5
0.0608652579391654,1,1,1,5
0.974022143479321,1,2,1,5
-0.201556067577689,1,1,2,5
0.981267027537023,1,2,2,5
3.37598168755585,2,1,1,5
0.187880330825806,2,2,1,5
1.71460177399726,2,1,2,5
-2.09283689629395,2,2,2,5
1.23444699781675,1,1,1,6
1.14181178587849,1,2,1,6
0.43109254162975,1,1,2,6
0.594556030833438,1,2,2,6
0.464704650207182,2,1,1,6
0.758197377958859,2,2,1,6
-0.0347210717545907,2,1,2,6
-0.173775148439472,2,2,2,6
-0.470700987520268,1,1,1,6
0.522944778370991,1,2,1,6
-0.352474016209842,1,1,2,6
0.260718909279029,1,2,2,6
-5.90217751854899,2,1,1,6
-0.373922359203939,2,2,1,6
0.0342274747251361,2,1,2,6
-0.364979686065904,2,2,2,6
0.0653275237960353,1,1,1,6
2.07958389618322,1,2,1,6
0.639740952054544,1,1,2,6
1.730282896148,1,2,2,6
0.260153384033172,2,1,1,6
1.51209569318533,2,2,1,6
-0.394253933556535,2,1,2,6
1.2862894842288,2,2,2,6
14.7322981154485,1,1,2,6
0.303743559938129,1,2,2,6
-2.56795728237569,2,2,1,6
0.967772770690793,2,1,2,6
-0.00496632206334872,2,2,2,6
0.643384733770594,1,1,1,6
-0.0144606311968483,1,2,1,6
0.165859695124542,1,1,2,6
-0.579016058776843,1,2,2,6
0.379713848740436,2,1,1,6
2.9680375708481,2,2,1,6
-0.2437300365957,2,1,2,6
0.630820601895988,2,2,2,6
-3.36678639149786,1,1,1,6
0.020405724909994,1,2,1,6
0.0442167098849363,1,1,2,6
1.06190553424694,1,2,2,6
-1.10497043105444,2,1,1,6
0.375732899800301,2,2,1,6
0.0501906555399472,2,1,2,6
0.3622823434885,2,2,2,6
0.310661876263971,1,1,1,6
2.00315263314249,1,2,1,6
