 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.40726330876350403, MaxAccuracy = 0.5693904161453247 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.29053178429603577, MaxAccuracy = 0.728923499584198 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.573281466960907, MaxAccuracy = 0.7250324487686157 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.35538262128829956, MaxAccuracy = 0.5265888571739197 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.4422827363014221, MaxAccuracy = 0.728923499584198 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 2, Parameter Space no. = 2, Accuracy = 0.3800259530544281, MaxAccuracy = 0.7263294458389282 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 3, Parameter Space no. = 1, Accuracy = 0.29571983218193054, MaxAccuracy = 0.496757447719574 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 3, Parameter Space no. = 2, Accuracy = 0.27496758103370667, MaxAccuracy = 0.728923499584198 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 4, Parameter Space no. = 1, Accuracy = 0.3450064957141876, MaxAccuracy = 0.5317769050598145 
 Window Size = 10, Outer Loop no. = 1, Inner Loop no. = 4, Parameter Space no. = 2, Accuracy = 0.37094682455062866, MaxAccuracy = 0.728923499584198 
 Window Size = 10, Outer Loop no. = 2, Inner Loop no. = 0, Parameter Space no. = 1, Accuracy = 0.5236907601356506, MaxAccuracy = 0.6558603644371033 
 Window Size = 10, Outer Loop no. = 2, Inner Loop no. = 0, Parameter Space no. = 2, Accuracy = 0.4825436472892761, MaxAccuracy = 0.6558603644371033 
 Window Size = 10, Outer Loop no. = 2, Inner Loop no. = 1, Parameter Space no. = 1, Accuracy = 0.38029924035072327, MaxAccuracy = 0.5922693014144897 
 Window Size = 10, Outer Loop no. = 2, Inner Loop no. = 1, Parameter Space no. = 2, Accuracy = 0.3778054714202881, MaxAccuracy = 0.6558603644371033 
 Window Size = 10, Outer Loop no. = 2, Inner Loop no. = 2, Parameter Space no. = 1, Accuracy = 0.3453865349292755, MaxAccuracy = 0.6271820664405823 
